id,names,post_content,tag
25,"[{""authors"":""Carmelina Huckfield""},{""authors"":""Darb Scammonden""},{""authors"":""Kary Paulich""},{""authors"":""Cirilo Mitchley""}]","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",productize out-of-the-box content
26,"[{""authors"":""Davie Lowthian""},{""authors"":""Sven Dilger""},{""authors"":""Bird Crowther""},{""authors"":""Tonia Syversen""}]","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",harness synergistic mindshare
27,"[{""authors"":""Vincent Arsey""}]",Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,grow ubiquitous e-markets
28,"[{""authors"":""Lesley Lynd""},{""authors"":""Margy Carlisi""},{""authors"":""Ronda Mallabon""}]","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",transform user-centric convergence
29,"[{""authors"":""Jo Gotch""}]","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",engage front-end e-services
30,"[{""authors"":""Elyssa Van Der Straaten""},{""authors"":""Neill Liven""},{""authors"":""Darb Scammonden""},{""authors"":""Lonna Robbe""},{""authors"":""Tommy Greenway""}]","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",empower transparent e-services
31,"[{""authors"":""Charmine Bust""}]","Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",engage out-of-the-box e-markets
32,"[{""authors"":""Cati Mallam""},{""authors"":""Andreana Riolfi""}]","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",transition e-business schemas
33,"[{""authors"":""Darb Scammonden""},{""authors"":""Deonne Risborough""},{""authors"":""Axel Ivanshintsev""},{""authors"":""Delilah Wathan""},{""authors"":""Abra Kidds""}]","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",reinvent leading-edge communities
34,"[{""authors"":""Everard Coltherd""},{""authors"":""Arne Regler""},{""authors"":""Truman Marzello""},{""authors"":""Fitzgerald Esley""}]","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",innovate scalable deliverables
35,"[{""authors"":""Danya Lohde""},{""authors"":""Timothee Sparey""},{""authors"":""Risa Eilhart""},{""authors"":""Glenna Shoebridge""}]","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",generate cross-media networks
36,"[{""authors"":""Archer Davydychev""},{""authors"":""Mitzi McLardie""},{""authors"":""Iseabal O'Lahy""},{""authors"":""Dmitri Pomeroy""},{""authors"":""Jud Ellse""}]","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",extend dynamic architectures
37,"[{""authors"":""Fayth Mattholie""},{""authors"":""Christiane Shakeshaft""},{""authors"":""Meredith Wakeford""}]","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",embrace cutting-edge deliverables
38,"[{""authors"":""Charmine Morland""},{""authors"":""Tybalt Boyson""},{""authors"":""Theo Cancellario""},{""authors"":""Darlene Pye""}]","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",reinvent world-class portals
39,"[{""authors"":""Em Park""},{""authors"":""Ted Beazey""},{""authors"":""Edan Batchelour""},{""authors"":""Dari Burtt""}]","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",expedite best-of-breed eyeballs
40,"[{""authors"":""Rafe Kobes""},{""authors"":""Dari Burtt""},{""authors"":""Torrie Meadway""}]","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",recontextualize ubiquitous mindshare
41,"[{""authors"":""Thorpe Atterbury""},{""authors"":""Fiona Zanotti""},{""authors"":""Nicko Terrell""},{""authors"":""Mirilla Jobin""}]","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",syndicate intuitive web services
42,"[{""authors"":""Krissie Ancell""},{""authors"":""Gar Alwell""},{""authors"":""Stafani Gregolin""},{""authors"":""Aloysia Fortescue""},{""authors"":""Vassily Eastmead""}]","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",harness granular platforms
43,"[{""authors"":""Royce Orbine""},{""authors"":""Nani Iacopetti""},{""authors"":""Christos Kelsall""},{""authors"":""Eileen Darinton""}]","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",architect efficient channels
44,"[{""authors"":""Arliene Stollwerck""}]","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",productize B2C synergies
45,"[{""authors"":""Gunilla Shimuk""},{""authors"":""Durante McDonagh""},{""authors"":""Kahaleel Sykes""}]","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",monetize plug-and-play networks
46,"[{""authors"":""Harrie Kimblin""},{""authors"":""Cesya Howey""},{""authors"":""Juliana Pudner""},{""authors"":""Jacquetta Patman""},{""authors"":""Benedicta Bricket""}]","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",optimize impactful metrics
47,"[{""authors"":""Steffie Collete""},{""authors"":""Dari Burtt""},{""authors"":""Fairleigh Lawden""},{""authors"":""Gearard Sex""},{""authors"":""Lind Verrell""}]",Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,innovate best-of-breed architectures
48,"[{""authors"":""Kalle Setchell""},{""authors"":""Rodrigo Vamplus""},{""authors"":""Nollie Cafferky""},{""authors"":""Brendin Sparrow""},{""authors"":""Terry Tetlow""}]","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",syndicate viral mindshare
49,"[{""authors"":""Gayle Croysdale""},{""authors"":""Taddeo Ploughwright""},{""authors"":""Janeen Van der Baaren""}]","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",extend seamless e-business
50,"[{""authors"":""Culley Mordie""},{""authors"":""Garnette Carberry""},{""authors"":""Andres Tansly""},{""authors"":""Barby Greed""},{""authors"":""Den Danick""}]","In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",aggregate sticky metrics
51,"[{""authors"":""Starla Halliberton""},{""authors"":""Tracy Pinching""},{""authors"":""Gerrard Reschke""}]","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",deliver dot-com paradigms
52,"[{""authors"":""Virge Clifford""},{""authors"":""Wallache Downton""},{""authors"":""Chrissy Haney`""},{""authors"":""Arlena Dickins""},{""authors"":""Vivyanne Frere""}]","Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",harness clicks-and-mortar e-markets
53,"[{""authors"":""Earl Sennett""},{""authors"":""Pia Iacomo""},{""authors"":""Dionis Neesam""},{""authors"":""Lyssa Frodsam""}]",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,expedite revolutionary niches
54,"[{""authors"":""Elisha Bore""},{""authors"":""Dorey McLelland""}]","Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",monetize out-of-the-box infomediaries
55,"[{""authors"":""Devy McJerrow""}]","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",optimize efficient e-services
56,"[{""authors"":""Clarita Dossetter""},{""authors"":""Mela Dixson""},{""authors"":""Douglas Oldland""},{""authors"":""Wenda Maidstone""},{""authors"":""Helaine Capes""}]","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",incubate real-time initiatives
57,"[{""authors"":""Haze Rosson""}]","Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",whiteboard web-enabled convergence
58,"[{""authors"":""Salim Ludee""},{""authors"":""Ernie Redmille""}]","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",reintermediate synergistic interfaces
59,"[{""authors"":""Damiano Shone""},{""authors"":""Antonius Pinshon""}]","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",exploit extensible mindshare
60,"[{""authors"":""Ab Cutteridge""},{""authors"":""Faina Woodfine""},{""authors"":""Giovanna Bartle""},{""authors"":""Niall Kurth""},{""authors"":""Vallie Bediss""}]","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",embrace 24/365 eyeballs
61,"[{""authors"":""Bobinette Osborne""}]","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",implement bricks-and-clicks models
62,"[{""authors"":""Hanson Farman""},{""authors"":""Rey Revey""}]","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",synthesize rich solutions
63,"[{""authors"":""Brose Konerding""},{""authors"":""Wes Winskill""},{""authors"":""Cammy Pohls""},{""authors"":""Tomasine MacFarlan""},{""authors"":""Alessandro Gritton""}]","Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",iterate one-to-one action-items
64,"[{""authors"":""Osbourne Ireson""},{""authors"":""Quintana Klarzynski""}]",Fusce consequat. Nulla nisl. Nunc nisl.,scale clicks-and-mortar web services
65,"[{""authors"":""Irma Cranton""}]","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",benchmark wireless deliverables
66,"[{""authors"":""Bill Ginger""},{""authors"":""Irv Antoniutti""},{""authors"":""Sonja Bolliver""},{""authors"":""Bowie Senecaut""}]","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",streamline innovative infomediaries
67,"[{""authors"":""Brunhilde Bemrose""}]","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",transform wireless solutions
68,"[{""authors"":""Stella Bampkin""},{""authors"":""Nesta Phelips""},{""authors"":""Rodie Benitez""}]",Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,drive one-to-one architectures
69,"[{""authors"":""Pearle McGillivrie""},{""authors"":""Burke Bolingbroke""},{""authors"":""Theodoric Greening""}]",Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,scale e-business niches
70,"[{""authors"":""Malanie Kelsall""},{""authors"":""Risa Greetland""},{""authors"":""Roger O'Sherrin""}]","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",mesh real-time mindshare
71,"[{""authors"":""Isidore Jopke""},{""authors"":""Conny Peckham""}]","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",implement cross-platform web services
72,"[{""authors"":""Marcos Calcott""},{""authors"":""Reinaldos Brisseau""},{""authors"":""Dare Frankish""}]","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",incentivize efficient portals
73,"[{""authors"":""Raye Rickard""},{""authors"":""Darin Wickey""},{""authors"":""Alfi Timeby""},{""authors"":""Joan Goade""},{""authors"":""Della Macilhench""}]","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",whiteboard impactful content
74,"[{""authors"":""Briney Rabl""},{""authors"":""Theodoric Greening""}]","Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",incentivize granular e-commerce
75,"[{""authors"":""Hesther Karolovsky""},{""authors"":""Loutitia Arniz""},{""authors"":""Griselda Peacock""},{""authors"":""Jeane Suatt""},{""authors"":""Andres Dripps""}]","Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",productize end-to-end portals
76,"[{""authors"":""Walton Folk""}]","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",envisioneer best-of-breed paradigms
